,is_employed,self_employed,salary,additional_income,credit_score,eviction,criminal,age,score,is_good
111,False,True,2700,0,543,1,1,26,20.0,0.0
112,True,False,2000,0,400,0,0,23,60.0,0.0
113,True,False,2400,0,523,1,1,30,20.0,0.0
114,True,False,3500,0,728,1,1,22,84.35159817351598,1.0
115,True,True,2500,0,543,1,1,48,70.0,1.0
116,True,False,3200,0,579,1,1,44,20.0,0.0
117,True,False,3000,302,554,1,1,37,20.0,0.0
118,True,False,950,0,568,1,2,23,20.0,0.0
119,True,False,1900,0,720,1,1,23,20.0,0.0
120,False,True,20000,0,784,1,1,31,20.0,0.0
121,False,False,2000,1600,543,1,1,38,20.0,0.0
122,True,False,65000,0,662,1,1,31,63.08371829483718,0.0
123,True,True,4000,0,517,1,1,56,20.0,0.0
124,True,True,2500,800,612,1,1,26,81.49497716894977,1.0
125,True,False,5833,0,681,1,1,42,79.41552511415526,1.0
126,False,True,3000,700,742,1,1,43,20.0,0.0
127,True,False,13000,0,739,1,1,37,84.79269406392694,1.0
128,True,False,1980,0,680,1,1,28,82.86027397260274,1.0
129,True,False,2000,0,400,0,0,38,60.0,0.0
130,True,False,4500,0,689,1,1,32,77.63013698630137,1.0
131,True,False,3515,0,543,1,2,49,60.0,0.0
132,True,False,700,1907,614,1,1,61,20.0,0.0
133,False,False,2000,5000,602,1,1,44,81.89406392694065,1.0
134,True,False,2700,0,638,1,1,21,20.0,0.0
135,True,False,1100,0,566,1,2,26,20.0,0.0
136,False,False,2000,0,797,1,1,30,70.0,1.0
137,True,False,1500,1000,558,1,1,30,70.0,1.0
138,True,False,1380,0,728,1,1,26,20.0,0.0
139,True,False,4834,0,633,1,1,30,20.0,0.0
140,True,False,2400,0,613,1,1,28,77.71415525114155,1.0
141,True,False,5000,0,683,1,1,54,70.0,1.0
142,False,False,2000,845,689,1,1,42,70.0,1.0
143,True,False,2000,0,400,0,0,45,60.0,0.0
144,True,False,3800,0,539,1,2,33,20.0,0.0
145,True,False,65000,0,764,1,1,23,77.31506849315069,1.0
146,True,True,2560,0,543,1,1,31,20.0,0.0
147,True,False,2920,0,630,1,1,22,70.0,1.0
148,True,False,2400,0,571,1,2,20,20.0,0.0
149,True,False,1475,2000,581,1,1,43,83.91050228310502,1.0
150,True,False,4169,0,695,1,1,29,81.43196347031963,1.0
151,True,False,2700,953,591,1,1,29,70.0,1.0
152,True,False,4000,500,588,1,1,29,79.33150684931506,1.0
153,True,True,4000,0,659,1,1,42,83.17534246575343,1.0
154,True,False,4450,0,676,1,1,31,71.42399986369522,0.0
155,True,False,4000,0,566,1,1,30,20.0,0.0
156,True,False,1900,2044,552,1,1,27,20.0,0.0
157,True,False,4800,200,698,1,1,33,25.0,0.0
158,True,False,3000,300,588,1,1,22,49.830802569460566,0.0
159,False,False,2000,0,543,1,1,28,20.0,0.0
160,True,False,1000,0,694,1,1,19,25.0,0.0
161,False,False,2000,0,725,1,1,20,79.52054794520548,1.0
162,True,False,4000,0,742,1,1,50,70.0,1.0
163,True,False,6000,0,773,1,2,26,20.0,0.0
164,True,False,4000,0,623,1,2,33,70.0,1.0
165,True,False,8000,0,400,0,0,33,20.0,0.0
166,True,False,4500,0,554,1,2,29,20.0,0.0
167,True,False,2800,1200,543,1,1,38,20.0,0.0
168,True,False,2700,779,557,1,1,30,20.0,0.0
169,True,False,2800,800,594,1,1,26,67.48310502283105,0.0
170,True,False,7066,0,706,1,1,26,70.0,1.0
171,True,False,4000,0,628,1,1,37,70.0,1.0
172,True,False,3600,0,578,1,1,27,25.0,0.0
173,True,False,6000,0,778,1,1,29,77.98721461187215,1.0
174,True,False,2500,0,520,1,1,20,20.0,0.0
175,False,False,2000,850,543,1,1,50,25.0,0.0
176,False,False,2000,1703,560,1,1,56,20.0,0.0
177,False,False,2000,2939,788,1,1,71,83.42739726027398,1.0
178,True,False,10000,0,826,1,1,56,80.21369863013699,1.0
179,True,False,800,0,796,1,1,21,78.9744292237443,1.0
180,True,False,2600,1900,570,1,1,26,82.54520547945205,1.0
181,True,False,3084,0,670,1,1,55,25.0,0.0
182,False,True,12000,0,782,1,1,56,69.49063926940639,0.0
183,False,True,6000,0,639,1,2,25,79.31682517523195,1.0
184,True,False,38000,0,531,1,1,55,20.0,0.0
185,False,True,1250,1260,488,1,1,44,20.0,0.0
186,True,False,2020,0,714,1,1,21,60.0,0.0
187,True,False,4000,4070,850,1,1,37,70.0,1.0
188,True,False,3200,0,744,1,1,57,70.0,1.0
189,True,False,60000,0,633,1,1,32,70.0,1.0
190,True,False,800,1690,537,1,2,49,20.0,0.0
191,True,False,3100,0,550,1,1,42,20.0,0.0
192,True,False,2800,0,636,1,1,25,70.0,1.0
193,True,True,3500,0,543,4,6,34,80.86484018264841,1.0
194,True,False,3593,0,797,1,1,27,79.37351598173515,1.0
195,True,False,7000,0,532,1,1,42,77.92641540681856,1.0
196,False,False,2000,80000,794,1,1,71,20.0,0.0
197,True,False,3800,0,701,1,1,24,25.0,0.0
198,True,False,8500,0,651,1,1,51,78.5123287671233,1.0
199,True,False,3200,0,685,1,1,21,82.59159817351598,1.0
200,True,False,2000,600,543,1,1,20,60.0,0.0
201,True,True,4880,600,561,1,2,41,78.32328767123288,1.0
202,False,False,2000,520,618,1,1,59,84.01552511415525,1.0
203,True,False,2000,0,651,1,1,23,78.76438356164384,1.0
204,True,False,2400,0,590,1,1,27,20.0,0.0
205,True,False,2000,0,400,0,0,32,60.0,0.0
206,True,False,2720,0,564,1,1,27,20.0,0.0
207,True,False,6709,0,625,1,2,44,70.0,1.0
208,True,False,1480,0,655,1,1,27,82.41917808219178,1.0
